Sample,y1972,y1984,y1991
1,1,1,1
2,5,5,5
3,4,4,4
4,5,5,5
5,1,1,1
6,5,1,1
7,5,5,5
8,1,1,1
9,2,2,2
10,5,5,1
11,1,1,1
12,5,5,1
13,5,1,1
14,1,2,2
15,5,5,5
16,3,4,4
17,3,3,3
18,5,5,5
19,5,5,5
20,3,3,3
21,4,1,1
22,5,5,1
23,1,1,1
24,5,5,5
25,3,3,3
26,3,3,3
27,5,5,1
28,5,5,5
29,1,1,1
30,1,2,2
31,4,4,4
32,1,1,1
33,5,5,5
34,1,1,1
35,1,2,2
36,5,5,1
37,1,1,1
38,5,5,1
39,5,5,5
40,1,1,1
41,5,5,5
42,4,4,4
43,5,5,5
44,5,1,1
45,3,3,3
46,4,4,4
47,3,3,3
48,5,5,5
49,5,5,1
50,4,4,4
51,1,1,1
52,4,4,4
53,4,4,1
54,1,1,1
55,1,1,1
56,5,5,5
57,5,5,5
58,5,5,5
59,4,4,1
60,3,3,3
61,5,5,5
62,3,3,3
63,5,1,1
64,4,4,4
65,5,5,5
66,1,1,1
67,1,1,1
68,4,4,4
69,4,4,4
70,4,1,1
71,5,5,5
72,4,4,4
73,3,3,3
74,4,4,4
75,5,5,5
76,5,5,5
77,5,5,5
78,5,5,5
79,5,5,5
80,4,4,4
81,5,5,5
82,4,4,4
83,2,2,2
84,5,5,5
85,3,3,1
86,3,3,3
87,1,1,1
88,1,1,1
89,5,5,5
90,5,5,1
91,5,5,5
92,5,5,5
93,5,1,1
94,1,1,1
95,3,3,3
96,5,5,5
97,1,1,1
98,5,5,5
99,2,2,2
100,4,4,4
101,5,5,5
102,4,4,1
103,5,5,1
104,5,1,1
105,4,4,4
106,1,1,1
107,1,1,1
108,1,1,1
109,5,5,5
110,5,1,1
111,1,1,1
112,4,4,4
113,4,4,1
114,5,1,1
115,4,4,4
116,4,4,1
117,4,4,1
118,2,2,2
119,1,1,1
120,1,2,2
121,5,5,5
122,5,5,5
123,4,1,1
124,5,5,5
125,5,5,5
126,5,5,5
127,5,5,1
128,4,4,4
129,5,5,5
130,1,1,1
131,4,4,1
132,4,4,4
133,5,5,5
134,3,3,3
135,5,5,5
136,3,3,3
137,5,1,1
138,1,1,1
139,4,4,4
140,5,5,5
141,5,5,5
142,1,1,1
143,1,1,1
144,5,5,1
145,5,5,5
146,4,4,4
147,5,5,5
148,5,5,1
149,5,5,5
150,5,5,5
151,5,5,5
152,5,5,5
153,5,5,5
154,5,5,5
155,5,5,5
156,5,5,5
157,4,4,1
158,5,5,5
159,3,3,3
160,4,4,4
161,5,5,1
162,2,2,2
163,4,4,4
164,1,1,1
165,2,2,2
166,5,5,5
167,2,3,3
168,5,5,1
169,3,3,1
170,5,5,5
171,1,1,1
172,4,4,4
173,5,1,1
174,1,1,1
175,5,5,1
176,5,5,1
177,3,3,3
178,4,4,4
179,1,1,1
180,3,3,3
181,1,1,1
182,5,5,5
183,5,5,1
184,4,4,4
185,4,4,4
186,5,5,5
187,5,5,5
188,5,5,5
189,4,4,1
190,4,4,4
191,4,4,1
192,3,3,3
193,4,4,4
194,2,2,2
195,5,5,5
196,5,5,5
197,5,5,5
198,5,5,5
199,3,4,4
200,4,5,5
